txop_num,duration,termination_time,From,To,Ended Properly
735,653,1603589760,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
736,8704,1603604826,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
737,61,1603611878,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
738,474,1603612927,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
739,514,1603613485,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
740,451,1603613980,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
741,579,1603614603,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
742,5894,1603620541,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
743,1002,1603624901,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
744,798,1603625743,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
745,489,1603626276,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
746,437,1603626757,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
747,453,1603627434,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
748,374,1603627852,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
749,495,1603628563,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
750,532,1603630582,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
751,1068,1603631694,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
752,5018,1603636756,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
753,424,1603637224,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
754,136,1603637405,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
755,61,1603639803,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
756,523,1603642256,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
757,9734,1603652034,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
758,60,1603658735,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
759,1809,1603662153,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
