txop_num,duration,termination_time,From,To,Ended Properly
2441,60,3123677355,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2442,112,3123721033,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2443,115,3123723881,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2444,47,3123724618,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2445,44,3123726152,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2446,45,3123731591,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2447,47,3123735626,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2448,60,3123745962,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2449,119,3123747659,1c:28:af:1f:0d:91,e4:c7:67:97:31:14,yes
2450,112,3123747963,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2451,119,3123748818,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2452,111,3123768207,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2453,47,3123771427,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2454,45,3123782945,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2455,44,3123793499,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2456,60,3123809453,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2457,47,3123814970,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2458,130,3123815746,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2459,47,3123816661,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2460,46,3123818942,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2461,47,3123823171,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2462,47,3123825183,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2463,48,3123834251,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2464,48,3123836339,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2465,47,3123840465,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2466,60,3123848480,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2467,49,3123850137,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2468,48,3123852581,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2469,111,3123861776,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2470,47,3123863016,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2471,48,3123872026,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2472,50,3123872465,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2473,46,3123873103,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2474,111,3123873946,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2475,48,3123879686,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2476,49,3123880557,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2477,47,3123885903,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2478,49,3123886250,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2479,49,3123895313,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2480,60,3123897830,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2481,48,3123898122,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2482,209,3123900312,1c:28:af:1f:0d:91,e4:c7:67:97:31:14,yes
2483,112,3123900705,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2484,205,3123902068,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2485,49,3123907666,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2486,49,3123913283,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2487,48,3123919305,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2488,61,3123923889,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2489,111,3123924933,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2490,47,3123926678,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2491,47,3123931698,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2492,61,3123950300,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2493,47,3123959965,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2494,60,3123960552,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2495,44,3123960943,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2496,44,3123961083,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2497,112,3123961360,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2498,47,3123962447,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2499,44,3123963165,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
